Date,Source,Brand,Product Name,RRP,Selling Price
31/8/2019,Fortress,LOVE LEADER,LOVE LEADER W620,648,648
31/8/2019,Fortress,VIVO,VIVO X21,4498,2099
31/8/2019,Fortress,SONY,SONY XA2 PLUS (64GB),3698,1998
31/8/2019,Fortress,SONY,SONY XA2 ULTRA (64GB),3498,1998
31/8/2019,Fortress,SONY,SONY XPERIA 1 (128GB),6999,5999
31/8/2019,Fortress,SONY,SONY XPERIA 10 PLUS (64GB),2999,2599
31/8/2019,Fortress,SONY,SONY XPERIA 10 (64GB),2499,2199
31/8/2019,Fortress,SONY,SONY XPERIA L3 (32GB),1599,1599
31/8/2019,Fortress,SONY,SONY XPERIA XZ2 (64GB),5198,3398
31/8/2019,Fortress,SONY,SONY XZ3 (64GB),6598,4298
31/8/2019,Fortress,SUGAR,SUGAR Y15,1598,959
31/8/2019,Fortress,VIVO,VIVO Y17,1998,1698
31/8/2019,Fortress,HUAWEI,HUAWEI Y6 PRIME (32GB),1358,1358
31/8/2019,Fortress,HUAWEI,HUAWEI Y6 PRO (16GB),1028,540
31/8/2019,Fortress,HUAWEI,HUAWEI Y7 PRIME (32GB),1458,1458
31/8/2019,Fortress,HUAWEI,HUAWEI Y7 PRO (32GB),1558,1388
31/8/2019,Fortress,VIVO,VIVO Y81,1498,1198
31/8/2019,Fortress,VIVO,VIVO Y85,1798,945
31/8/2019,Fortress,HUAWEI,HUAWEI Y9 (64GB),1688,1688
31/8/2019,Fortress,HUAWEI,HUAWEI Y9 PRIME (128GB),1888,1888
31/8/2019,Fortress,VIVO,VIVO Y91C,1098,1049
31/8/2019,Fortress,VIVO,VIVO Y95,1798,1798
31/8/2019,Fortress,LENOVO,LENOVO Z6 PRO,3999,3999
31/8/2019,Fortress,ASUS,ASUS ZENFONE 6 (6GB),4998,4998
31/8/2019,Fortress,ASUS,ASUS ZENFONE 6 (8GB),5798,5798
31/8/2019,Fortress,ASUS,ASUS ZENFONE MAX M2 (64GB),1999,1999
31/8/2019,Fortress,ASUS,ASUS ZENFONE MAX PRO M1 (64GB),2198,1898
31/8/2019,Fortress,ASUS,ASUS ZENFONE MAX PRO M2 (128GB),2498,2498
1/9/2019,Fortress,NOKIA,NOKIA 106 DS,199,199
1/9/2019,Fortress,BLACK SHARK,BLACK SHARK 2 (128GB),4398,3660
1/9/2019,Fortress,BLACK SHARK,BLACK SHARK 2 (256GB),5298,4898
1/9/2019,Fortress,NOKIA,NOKIA 3.1 PLUS,1688,1388
1/9/2019,Fortress,NOKIA,NOKIA 3310,568,568
1/9/2019,Fortress,NOKIA,NOKIA 4.2 (32GB),1288,1188
1/9/2019,Fortress,NOKIA,NOKIA 5.1 PLUS (32GB),1588,1188
1/9/2019,Fortress,NOKIA,NOKIA 8.1 (128GB),3288,2698
