Date,Source,Brand,Product Name,RRP,Selling Price
1/9/2019,Broadway,NOKIA,NOKIA 9 PUREVIEW (128GB),4988,3998
1/9/2019,Broadway,SAMSUNG,SAMSUNG A20 (32GB),1498,1398
1/9/2019,Broadway,SAMSUNG,SAMSUNG A60 (128GB),2498,2498
1/9/2019,Broadway,SAMSUNG,SAMSUNG A70 (6GB),3098,2798
1/9/2019,Broadway,SAMSUNG,SAMSUNG A80 (128GB),4798,4298
1/9/2019,Broadway,SAMSUNG,SAMSUNG A8S (128GB),3298,2308
1/9/2019,Broadway,SAMSUNG,SAMSUNG A9 (128GB),3598,3598
1/9/2019,Broadway,SAMSUNG,SAMSUNG NOTE 10 (256GB),6998,6998
1/9/2019,Broadway,SAMSUNG,SAMSUNG NOTE 10+ (256GB),7998,7998
1/9/2019,Broadway,SAMSUNG,SAMSUNG NOTE 10+ (512GB),8998,8998
1/9/2019,Broadway,SAMSUNG,SAMSUNG NOTE 9 (128GB),7698,5998
1/9/2019,Broadway,SAMSUNG,SAMSUNG NOTE 9 (512GB),9798,7998
1/9/2019,Broadway,SAMSUNG,SAMSUNG S10 (128GB),5998,5298
1/9/2019,Broadway,SAMSUNG,SAMSUNG S10+ (1TB),11998,11998
1/9/2019,Broadway,SAMSUNG,SAMSUNG S10+ (128GB),6998,6098
1/9/2019,Broadway,SAMSUNG,SAMSUNG S10E (128GB),5298,4698
1/9/2019,Broadway,SONY,SONY XPERIA 1 (128GB),6999,5999
1/9/2019,Broadway,SONY,SONY XPERIA 10 (64GB),2499,1999
1/9/2019,Broadway,SONY,SONY XPERIA 10 PLUS (64GB),2999,2599
1/9/2019,Broadway,SONY,SONY XPERIA L3 (32GB),1599,1599
1/9/2019,Broadway,HUAWEI,HUAWEI Y7 PRIME (32GB),1458,1458
1/9/2019,Broadway,ASUS,ASUS ZENFONE MAX M1 (32GB),1598,1598
2/9/2019,Broadway,BLACK SHARK,BLACK SHARK 2 (256GB),5298,4798
2/9/2019,Broadway,SAMSUNG,SAMSUNG A8+ (64GB),4398,3798
2/9/2019,Broadway,HTC,HTC DESIRE 12+ (32GB),1998,1598
2/9/2019,Broadway,HUAWEI,HUAWEI MATE 20 PRO (128GB),5988,5988
2/9/2019,Broadway,HUAWEI,HUAWEI MATE 20X (128GB),5488,5488
2/9/2019,Broadway,HUAWEI,HUAWEI NOVA 3 (128GB),3588,2988
2/9/2019,Broadway,HUAWEI,HUAWEI P30 (128GB),4288,4088
2/9/2019,Broadway,HUAWEI,HUAWEI P30 (256GB),5988,5498
2/9/2019,Broadway,HUAWEI,HUAWEI P30 (512GB),6988,6398
2/9/2019,Broadway,HUAWEI,HUAWEI Y6 PRIME (32GB),1358,1358
2/9/2019,Broadway,HUAWEI,HUAWEI Y7 PRO(32GB),1558,1558
2/9/2019,Broadway,HUAWEI,HUAWEI Y9 (64GB),1688,1688
2/9/2019,Broadway,HUAWEI,HUAWEI Y9 PRIME (128GB),1888,1888
2/9/2019,Broadway,HUAWEI,HUAWEI NOVA 3I (128GB),2288,2288
2/9/2019,Broadway,HONOR,HONOR VIEW 20 (128GB),4099,3499
2/9/2019,Broadway,HONOR,HONOR VIEW 20 (256GB),4899,4199
2/9/2019,Broadway,LENOVO,LENOVO S5 (64GB),1399,1399
2/9/2019,Broadway,HUAWEI,HUAWEI MATE 10 PRO (128GB),5580,4680
2/9/2019,Broadway,NOKIA,NOKIA 3.2 (32GB),1298,1298
2/9/2019,Broadway,NOKIA,NOKIA 4.2 (32GB),1288,1188
2/9/2019,Broadway,NOKIA,NOKIA 7 PLUS (64GB),3288,1988
2/9/2019,Broadway,NOKIA,NOKIA 8.1 (64GB),3388,2498
2/9/2019,Broadway,NOKIA,NOKIA 8.1 (128GB),3288,2698
2/9/2019,Broadway,NOKIA,NOKIA 5.1 PLUS (32GB),1588,1588
2/9/2019,Broadway,NOKIA,NOKIA 9 PUREVIEW (128GB),4988,3998
2/9/2019,Broadway,SAMSUNG,SAMSUNG A70 (6GB),3098,2798
2/9/2019,Broadway,SAMSUNG,SAMSUNG A8S (128GB),3298,3298
2/9/2019,Broadway,SAMSUNG,SAMSUNG A9 (128GB),3598,3598
2/9/2019,Broadway,SAMSUNG,SAMSUNG NOTE 10 (256GB),6998,6998
2/9/2019,Broadway,SAMSUNG,SAMSUNG NOTE 10+ (256GB),7998,7998
2/9/2019,Broadway,SAMSUNG,SAMSUNG NOTE 10+ (512GB),8998,8998
2/9/2019,Broadway,SAMSUNG,SAMSUNG S10 (128GB),5998,5298
2/9/2019,Broadway,SAMSUNG,SAMSUNG S10+ (1TB),11998,11998
2/9/2019,Broadway,SAMSUNG,SAMSUNG S10+ (128GB),6998,6098
2/9/2019,Broadway,SAMSUNG,SAMSUNG S10E (128GB),5298,4698
2/9/2019,Broadway,SONY,SONY XPERIA 1 (128GB),6999,5999
2/9/2019,Broadway,SONY,SONY XPERIA 10 (64GB),2499,1999
2/9/2019,Broadway,SONY,SONY XPERIA 10 PLUS (64GB),2999,2599
2/9/2019,Broadway,SONY,SONY XPERIA L3 (32GB),1599,1599
2/9/2019,Broadway,HUAWEI,HUAWEI Y7 PRIME (32GB),1458,1458
2/9/2019,Broadway,ASUS,ASUS ZENFONE MAX M1 (32GB),1598,1598
3/9/2019,Broadway,BLACK SHARK,BLACK SHARK 2 (256GB),5298,4798
3/9/2019,Broadway,SAMSUNG,SAMSUNG A8+ (64GB),4398,3798
3/9/2019,Broadway,HTC,HTC DESIRE 12+ (32GB),1998,1598
3/9/2019,Broadway,HUAWEI,HUAWEI MATE 20 (128GB),4688,3988
3/9/2019,Broadway,HUAWEI,HUAWEI MATE 20 PRO (128GB),5988,5988
3/9/2019,Broadway,HUAWEI,HUAWEI MATE 20X (128GB),5488,5488
3/9/2019,Broadway,HUAWEI,HUAWEI NOVA 3 (128GB),3588,2988
3/9/2019,Broadway,HUAWEI,HUAWEI P30 (128GB),4288,4088
3/9/2019,Broadway,HUAWEI,HUAWEI P30 LITE (128GB),2388,2388
3/9/2019,Broadway,HUAWEI,HUAWEI P30 PRO (256GB),5988,5498
3/9/2019,Broadway,HUAWEI,HUAWEI P30 PRO (512GB),6988,6398
3/9/2019,Broadway,HUAWEI,HUAWEI Y6 PRIME (32GB),1358,1358
3/9/2019,Broadway,HUAWEI,HUAWEI Y7 PRO (32GB),1558,1558
3/9/2019,Broadway,HUAWEI,HUAWEI Y9 (64GB),1688,1688
3/9/2019,Broadway,HUAWEI,HUAWEI Y9 PRIME (128GB),1888,1888
3/9/2019,Broadway,HUAWEI,HUAWEI NOVA 3I (128GB),2288,2288
3/9/2019,Broadway,HONOR,HONOR VIEW 20 (128GB),4099,3499
3/9/2019,Broadway,HONOR,HONOR VIEW 20 (256GB),4899,4199
3/9/2019,Broadway,LENOVO,LENOVO S5 (64GB),1399,1399
3/9/2019,Broadway,HUAWEI,HUAWEI MATE 10 PRO (128GB),5580,4680
3/9/2019,Broadway,NOKIA,NOKIA 4.2 (32GB),1288,1188
3/9/2019,Broadway,NOKIA,NOKIA 7 PLUS (64GB),3288,1988
3/9/2019,Broadway,NOKIA,NOKIA 8.1 (64GB),3388,2498
3/9/2019,Broadway,NOKIA,NOKIA 8.1 (128GB),3288,2698
3/9/2019,Broadway,NOKIA,NOKIA 5.1 PLUS (32GB),1588,950
3/9/2019,Broadway,NOKIA,NOKIA 9 PUREVIEW (128GB),4988,3998
3/9/2019,Broadway,SAMSUNG,SAMSUNG A20 (32GB),1498,1398
3/9/2019,Broadway,SAMSUNG,SAMSUNG A60 (128GB),2498,2498
3/9/2019,Broadway,SAMSUNG,SAMSUNG A70 (6GB),3098,2798
3/9/2019,Broadway,SAMSUNG,SAMSUNG A80 (128GB),4798,4298
3/9/2019,Broadway,SAMSUNG,SAMSUNG A8S (128GB),3298,3298
3/9/2019,Broadway,SAMSUNG,SAMSUNG A9 (128GB),3598,3598
3/9/2019,Broadway,SAMSUNG,SAMSUNG NOTE 10 (256GB),6998,6998
