Date,Source,Brand,Product Name,RRP,Selling Price
4/10/2019,SmarTone,HUAWEI,HUAWEI P30 LITE (128GB),2388,2388
4/10/2019,SmarTone,HUAWEI,HUAWEI P30 (128GB),4288,4188
4/10/2019,SmarTone,HUAWEI,HUAWEI Y9 PRIME (128GB),1888,1888
4/10/2019,SmarTone,HUAWEI,HUAWEI NOVA 4 (128GB),2988,2588
4/10/2019,SmarTone,HUAWEI,HUAWEI NOVA 5T (128GB),3088,3088
4/10/2019,SmarTone,NOKIA,NOKIA 3.2 (32GB),1398,1398
4/10/2019,SmarTone,NOKIA,NOKIA 4.2 (32GB),1288,1288
4/10/2019,SmarTone,NOKIA,NOKIA 5.1 PLUS (32GB),1588,1588
4/10/2019,SmarTone,NOKIA,NOKIA 7.2,2598,2598
4/10/2019,SmarTone,REDMI,REDMI 7 (64GB),1299,1249
4/10/2019,SmarTone,REDMI,REDMI NOTE SEVEN (128GB),1699,1599
4/10/2019,SmarTone,SAMSUNG,SAMSUNG A60 (128GB),2498,2498
4/10/2019,SmarTone,SAMSUNG,SAMSUNG A70 (6GB),3098,3098
4/10/2019,SmarTone,SAMSUNG,SAMSUNG A70 (8GB),3498,3298
4/10/2019,SmarTone,SAMSUNG,SAMSUNG A80 (128GB),4798,4298
4/10/2019,SmarTone,SAMSUNG,SAMSUNG NOTE 10 (256GB),6998,6998
4/10/2019,SmarTone,SAMSUNG,SAMSUNG NOTE 10+ (256GB),7998,7998
4/10/2019,SmarTone,SAMSUNG,SAMSUNG NOTE 10+ (512GB),8998,8998
4/10/2019,SmarTone,SAMSUNG,SAMSUNG NOTE 9 (128GB),7698,4799
4/10/2019,SmarTone,SAMSUNG,SAMSUNG S10 (128GB),5998,5298
4/10/2019,SmarTone,SAMSUNG,SAMSUNG S10 (512GB),7998,6998
4/10/2019,SmarTone,SAMSUNG,SAMSUNG S10E (128GB),5298,4698
4/10/2019,SmarTone,SAMSUNG,SAMSUNG S10+ (128GB),6998,6098
4/10/2019,SmarTone,SAMSUNG,SAMSUNG S10+ (512GB),8998,7698
4/10/2019,SmarTone,SAMSUNG,SAMSUNG S10+ (1TB),11998,10598
4/10/2019,SmarTone,SAMSUNG,SAMSUNG TAB S5E (128GB),4488,4288
4/10/2019,SmarTone,SIGTONE,SIGTONE V8 (4GB),899,899
4/10/2019,SmarTone,SONY,SONY XPERIA 1 (128GB),6999,5899
4/10/2019,SmarTone,MI,MI 9 (128GB),3699,3599
4/10/2019,SmarTone,APPLE,APPLE IPHONE 11 PRO MAX (64GB),9499,9499
4/10/2019,SmarTone,APPLE,APPLE IPHONE 11 PRO MAX (256GB),10799,10799
4/10/2019,SmarTone,APPLE,APPLE IPHONE 11 PRO MAX (512GB),12499,12499
4/10/2019,SmarTone,APPLE,APPLE IPHONE 11 PRO (64GB),8599,8599
4/10/2019,SmarTone,APPLE,APPLE IPHONE 11 PRO (256GB),9899,9899
4/10/2019,SmarTone,APPLE,APPLE IPHONE 11 PRO (512GB),11599,11599
4/10/2019,SmarTone,APPLE,APPLE IPHONE 11 (64GB),5999,5999
4/10/2019,SmarTone,APPLE,APPLE IPHONE 11 (128GB),6499,6499
4/10/2019,SmarTone,APPLE,APPLE IPHONE 11 (256GB),7299,7299
4/10/2019,SmarTone,APPLE,APPLE IPHONE 8 PLUS (128GB),5399,5399
4/10/2019,SmarTone,APPLE,APPLE IPHONE 8 PLUS (64GB),4899,4899
4/10/2019,SmarTone,APPLE,APPLE IPHONE 8 (128GB),4399,4399
4/10/2019,SmarTone,APPLE,APPLE IPHONE 8 (64GB),3899,3899
4/10/2019,SmarTone,APPLE,APPLE IPHONE XR (64GB),5199,5049
4/10/2019,SmarTone,APPLE,APPLE IPHONE XR (128GB),5699,5549
4/10/2019,SmarTone,APPLE,APPLE IPHONE XR (256GB),7799,7199
4/10/2019,SmarTone,APPLE,APPLE IPHONE XS MAX (64GB),8599,8249
4/10/2019,SmarTone,APPLE,APPLE IPHONE XS MAX (256GB),9899,9599
4/10/2019,SmarTone,APPLE,APPLE IPHONE XS (64GB),7799,7449
4/10/2019,SmarTone,APPLE,APPLE IPHONE XS (256GB),9099,8749
6/10/2019,SmarTone,ALCATEL,ALCATEL U5 4G (8GB),799,499
6/10/2019,SmarTone,HTC,HTC U19E (128GB),3398,2998
6/10/2019,SmarTone,HUAWEI,HUAWEI P30 PRO (256GB),5988,5788
6/10/2019,SmarTone,HUAWEI,HUAWEI P30 LITE (128GB),2388,2388
6/10/2019,SmarTone,HUAWEI,HUAWEI P30 (128GB),4288,4188
6/10/2019,SmarTone,HUAWEI,HUAWEI Y9 PRIME (128GB),1888,1888
6/10/2019,SmarTone,HUAWEI,HUAWEI NOVA 4 (128GB),2988,2588
6/10/2019,SmarTone,HUAWEI,HUAWEI NOVA 5T (128GB),3088,3088
6/10/2019,SmarTone,NOKIA,NOKIA 3.2 (32GB),1398,1398
6/10/2019,SmarTone,NOKIA,NOKIA 4.2 (32GB),1288,1288
6/10/2019,SmarTone,NOKIA,NOKIA 5.1 PLUS (32GB),1588,1588
6/10/2019,SmarTone,NOKIA,NOKIA 7.2,2598,2598
6/10/2019,SmarTone,REDMI,REDMI 7 (64GB),1299,1249
6/10/2019,SmarTone,REDMI,REDMI NOTE SEVEN (128GB),1699,1599
6/10/2019,SmarTone,SAMSUNG,SAMSUNG A60 (128GB),2498,2498
6/10/2019,SmarTone,SAMSUNG,SAMSUNG A70 (6GB),3098,3098
6/10/2019,SmarTone,SAMSUNG,SAMSUNG A70 (8GB),3498,3298
